2025-11-26 11:17:58,089 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:17:58,089 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:18:34,982 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:18:34,983 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:18:35,084 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:18:41,648 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:18:41,648 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:18:41,747 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:19:40,984 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:19:40,984 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:19:41,092 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:20:02,105 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:20:02,105 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:20:02,203 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:20:37,941 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:20:37,941 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:20:38,040 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:21:35,371 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:21:35,371 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:21:35,474 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:21:41,743 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:21:41,743 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:21:41,842 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:22:13,305 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:22:13,305 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:22:13,407 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:23:20,942 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:23:20,942 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:23:21,041 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:23:59,988 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 11:23:59,988 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 11:24:00,086 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:24:57,874 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
